title,url,date,hood,description,address,compensation
Siri - Sr. Server Platform Engineer - 114026335,https://sfbay.craigslist.org/sby/sof/d/siri-sr-server-platform/6679116279.html,1535020620000, (cupertino),"
        
Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks.Play a part in the next revolution in human-computer interaction. Contribute to a product that is redefining mobile computing. Create groundbreaking technology for artificial intelligence. Transform the way people interact with the lights, locks, thermostats and devices in their homes. Work with the people who created the intelligent assistant that helps millions of people get things done -- just by asking. Join the Siri team at Apple. The Platform team at Siri works on the distributed systems and services as well as the client frameworks that help Siri answer your questions while you're speaking to Siri.

Key Qualifications: •Ability to apply Computer Science fundamentals (basic algorithms and data structures) to real world problems •Proficiency in a modern server-side programming language (e.g., Java, Python, or C++) •Experience designing, debugging, and implementing large-scale distributed systems and services •Proven ability to implement and debug multi-threaded software •Expertise building web services and APIs for other developers •Practical understanding of network protocols and communications frameworks •Excellent problem solving, critical thinking, and communication skills

Description: Siri's ability to answer effectively is determined by speedy and efficient delivery of data from your iPhone or iPad to our services and storage systems - we call this syncing. In this role, you will work on the protocol for synchronizing data from client to server, invent novel mechanisms for data storage and representation, identify inefficiencies and architect solutions for data synchronization, and build planet-scale web services. You will love this role, if you're passionate about distributed systems, replication, and large scale-services with an eye towards delighting our customers.

Education: BS in Computer Science, other technical degree or meaningful work experience

Additional Requirements: Expertise in modern Java and web services Data driven debugging skills Familiarity with a data processing frameworks, e.g., Spark or MapReduce Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.     ",,Open
"Machine Learning Engineer, Data Platform Team (Siri Search and Knowled",https://sfbay.craigslist.org/nby/sof/d/machine-learning-engineer/6679114755.html,1535020500000, (novato),"
        
Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks.Siri's universal search engine powers search features across a variety of Apple products, including Siri, Spotlight, Safari, Messages and Lookup. The Data Platform Team enables continuous improvement of the search system by building tools for data-driven decision making and rapid iteration. As part of this group, you will work with one of the most exciting high performance computing environments, with petabytes of data and millions of queries per second. You will have an opportunity to find signals in massive datasets to help drive development of the products that delight our customers every single day.Key Qualifications: •2+ years of experience in a Machine Learning or Data Science role •Experience applying machine learning algorithms to understand real-world data (classification, anomaly detection, etc.) •Ability to manipulate large data sets with high dimensionality and complexity; fluency in SQL/HQL •Experience with machine learning tools and libraries, such as Scikit-learn, TensorFlow, Spark, or Dask-ML •Excellent analytical and problem solving skills •Attention to detail and commitment to high-quality output •Outstanding interpersonal skills required •Proficiency in one of the following languages: Python, Go, Java, C++ •Experience with large scale search and machine learning systems is a plus •Experience with Hadoop, Hive, Impala, and/or Tableau is a plus

Description: Perform offline analysis of user behavior logs Apply statistical techniques to detect anomalies in time series data Build scalable machine learned models for classifying user behavior and inferring user satisfaction Run crowdsourced grading projects to determine relevant features and develop training sets for modeling behavioral patterns (user satisfaction analysis, fraud detection, etc.) Design and run A/B experiments to measure the impact of different models Partner with infrastructure engineers to deploy and refresh models

Education: BS in Computer Science, Mathematics, Statistics, related field, or equivalent industry experience Advanced degree in Machine Learning, Data Science, or a related field preferred Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.     ",,Open
Software QA Engineer - iCloud - 114089644,https://sfbay.craigslist.org/sby/sof/d/software-qa-engineer-icloud/6679111471.html,1535020260000, (cupertino),"
        
Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks.Imagine what we could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job, and there's no telling what we could accomplish. Do you love solving complex challenges? Are you an inventive self-starter who takes pride in seeing ideas come to life on a global scale? We are looking for a Software QA Engineer for testing and qualification of Apple's educational products: iTunes U and Schoolwork. This includes related services with a focus on testing applications used in creating, editing and publishing content for these applications. You will collaborate with internal and external teams. You will also interface and work on related projects for educational solutions.  

Key Qualifications: •1+ years of QA experience, with a proven record detecting and writing bug reports •Strong analytical, problem solving and creative thinking skills •Reasonable knowledge of Mac OS X, iOS, Android, and Windows platforms •Strong verbal and written communication •Eager to create and use automated test suite tools •Flexibility and ability to adapt to rapidly changing requirements •The ability to work independently •Some level of competency in programming languages like Perl, Python or Swift •Proficient with command-line interfaces, some exposure to shell scripts and UNIX. •Proven ability to communicate cross-functionally, and to seek out information when required

Description: Consider joining a small team and qualifying the software which forms the foundation for some of our most exciting products and services. The applicant is a strong individual contributor who can work on projects independently. You will also be required to collaborate with other team members. We're searching for a dynamic individual who is prepared to test/regress a high volume of changes on a day-to-day basis. This person should be detail oriented to efficiently perform and reconcile test data.  

Education: BS in Computer Science,Mathematics, or EE is required Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.     ",,Open
Senior Software Engineer,https://sfbay.craigslist.org/eby/sof/d/senior-software-engineer/6679094014.html,1535019000000, (oakland downtown),"
        
Click on this link to apply: https://locuslabs.recruiterbox.com/jobs/fk0fzfg?cjb_hash=O_TBvJ95&apply_now=true
Are you interested in mapping the inside of every building on the planet? So are we!
LocusLabs (www.locuslabs.com) is a venture backed SF Bay Area startup focused on indoor mapping and location services. After gaining significant traction in the travel industry providing interactive maps of the world's largest airports to several marquee customers, we are now setting our sights on the rest of the planet.
At LocusLabs, we work on and with a wide spectrum of technologies in order to achieve our goals.  If there are technologies you enjoy working on or that you are interested in working on, we probably have you covered.  From mobile to cloud, GUI to backend, hardware to software, we touch it all.  If you wanted to, you could be working on solving a problem with our sensor fusion system one day, then working on our cloud asset deployment system the next.
Are you a dynamic engineer who likes working on cutting edge technology in a fast paced startup environment? Does the prospect of being able to learn a multitude of new technologies, languages and platforms excite you? Are you interested in traveling the world building relationships with our global customer base? Do you work well on a team and have excellent verbal and written communication skills?
If you said yes to one or more of those, we want you on our team!
Our goal is to hire the best people possible regardless of physical location and/or work schedules, so we are open to telecommuting and flexible time schedules.
JOB DESCRIPTION

Member of a very experienced engineering team in an exciting startup environment
Define / design / implement features throughout our technology stack including, but not limited to:
GUIs and APIs for customer facing iOS, JS and Android SDKs
REST / AWS-based APIs
Analytics and data analysis
On-site data collection systems
Mapping workflow systems
Interact with product team to scope and prioritize features
Work with mapping and data teams to hone workflow
Support customers to quickly solve integration and end-user issues

REQUIREMENTS

Open to learning new languages and platforms
Must be able to task swap between disparate technologies
BS or higher in CS or similar field
5-10 years professional development experience
Strong verbal and written communication skills
Ability to overcome obstacles autonomously, self-motivated, ""get it done"" attitude
Willingness to travel internationally on occasion

TECHNOLOGIES
Ideal candidate would have experience with some subset of the following:

JavaScript - browser and node
Android
iOS
Maps & geographic coordinate systems - Google Maps / Apple Maps / MapBox
Augmented Reality
OpenGL / WebGL
AWS - Lambda / S3 / DynamoDB
REST / HTTP

Salary based on experience; Meaningful stock options; Full-time position.
Click on this link to apply: https://locuslabs.recruiterbox.com/jobs/fk0fzfg?cjb_hash=O_TBvJ95&apply_now=true
    ",,Salary based on experience; Meaningful stock options; Full-time position.
Software Engineer - iCloud - 114068427,https://sfbay.craigslist.org/sby/sof/d/software-engineer-icloud/6679092616.html,1535018880000, (cupertino),"
        
Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks.Do you love solving complex challenges? Are you an inventive self-starter who takes pride in seeing ideas come to life on a global scale? As part of iCloud you'll help design, develop, and deploy high-performance systems that handle billions of queries every single day. This enormous scale brings challenges that require extraordinarily creative problem solving. By focusing on and respecting the customer's needs, you'll be responsible for helping us build the technology that works for so many customers around the world. Join Apple's iCloud team as a Software Engineer. We build and innovative applications and custom solutions. As member of our technical team, you will play a critical role in crafting new systems architecture and technical direction, as well as the future of existing system and services.  

Key Qualifications: •Experience in software development •Experience in development of Java server applications in a Unix environment •Extensive experience using Core Java •Knowledge of open source frameworks like Spring •Knowledge of Oracle programming •Knowledge of NoSQL database like Cassandra is a plus •Knowledge of HTML, Javascript and JQuery is also a plus

Description: We are looking for a passionate engineer to develop and support new and existing features. You will be working closely with multi-functional teams to effectively oversee the complex interdependencies inherent in this role.  

Education: MS in Computer Science, Information Technology, or EE, or BS with relevant industry experience Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.     ",,Open
Software Engineer - Venture Backed Startup,https://sfbay.craigslist.org/eby/sof/d/software-engineer-venture/6679012133.html,1535013600000, (oakland downtown),"
        
Are you interested in mapping the inside of every building on the planet? So are we!
LocusLabs (www.locuslabs.com) is a venture backed Oakland based startup focused on indoor mapping and location services. After gaining significant traction in the travel industry providing interactive maps of the world's largest airports to several marquee customers, we are now setting our sights on the rest of the planet.
At LocusLabs, we work on and with a wide spectrum of technologies in order to achieve our goals.  If there are technologies you enjoy working on or that you are interested in working on, we probably have you covered.  From mobile to cloud, GUI to backend, hardware to software, we touch it all.  If you wanted to, you could be working on solving a problem with our sensor fusion system one day, then working on our cloud asset deployment system the next.
Are you a dynamic engineer who likes working on cutting edge technology in a fast paced startup environment? Does the prospect of being able to learn a multitude of new technologies, languages and platforms excite you? Are you interested in traveling the world building relationships with our global customer base? Do you work well on a team and have excellent verbal and written communication skills?
If you said yes to one or more of those, we want you on our team!
Click on this link to apply: https://locuslabs.recruiterbox.com/jobs/fk0ftyy?cjb_hash=O_xKQo20&apply_now=true
JOB DESCRIPTION

Member of a very experienced engineering team in an exciting startup environment
Define / design / implement features throughout our technology stack including, but not limited to:
GUIs and APIs for customer facing iOS, JS and Android SDKs
REST / AWS-based APIs
Analytics and data analysis
On-site data collection systems
Mapping workflow systems
Interact with product team to scope and prioritize features
Work with mapping and data teams to hone workflow
Support customers to quickly solve integration and end-user issues

REQUIREMENTS

Open to learning new languages and platforms
Must be able to task swap between disparate technologies
BS or higher in CS or similar field
0-5 years professional development experience
Strong verbal and written communication skills
Ability to overcome obstacles autonomously, self-motivated, ""get it done"" attitude
Willingness to travel internationally on occasion

TECHNOLOGIES
Ideal candidate would have experience with some subset of the following:

JavaScript - browser and node
Android
iOS
Maps & geographic coordinate systems - Google Maps / Apple Maps / MapBox
Augmented Reality
OpenGL / WebGL
AWS - Lambda / S3 / DynamoDB
REST / HTTP

Salary based on experience; Meaningful stock options; Full-time position in our Oakland, CA, office.
Click on this link to apply: https://locuslabs.recruiterbox.com/jobs/fk0ftyy?cjb_hash=O_xKQo20&apply_now=true    ",,"Salary based on experience; Meaningful stock options; Full-time position in our Oakland, CA, office."
TEMPORARY Applications Programmer - Administrative Systems,https://sfbay.craigslist.org/sfc/sof/d/temporary-applications/6678914997.html,1535007900000,,"
        
The Department of Psychiatry seeks an Applications Programmer - Administrative Systems. This individual should be a seasoned software web applications programmer with at least five years of experience in web applications software development. The Applications Programmer 3 - Administrative Systems will be responsible with designing, developing and implementing technology/software applications that are web based and automate the Department's operational processes, particularly in the Finance and Human Resources areas, promoting greater productivity and more informed decision-making. The incumbent will report to the Associate Chair for Administration and Finance, and will work with the Associate Chair to determine priorities, with the goal of quickly implementing simple ""technology application fixes"" and developing electronic application solutions that are web based for the more complex projects that pull data from different University systems or require levels of analytics.

The Applications Programmer - Administrative Systems, will be expected to work closely with staff members in the Finance and HR units, and with relevant UCSF IT units or owners of key enterprise systems. The Applications Programmer - Administrative Systems will also serve as the lead for developing consensus on technology needs and potential solutions. This position is highly independent, with performance success determined by web software application olutions/deliverables.
    ",,TBD
Integration of Projects -  Consultant,https://sfbay.craigslist.org/sby/sof/d/integration-of-projects/6678766123.html,1534999860000, (san jose north),"
        
Job Description:
1.	Skills Requirement: 
•	Experience in building and maintain web services with Ariba and/or SAP
•	Experience with using SAP Data Services or other Extract-Transform-Load (ETL) tools
•	Experience with using APIs, EDI, XML/cXML
•	Experience in a high availability/Internet facing environment
•	Experience with designing, building, testing and deploying interfaces in multi-tier environments
•	Excellent written and verbal communication skills 
•	Ability to work and communicate effectively with all levels of co-workers, clients, and other external contacts
•	Ability to perform in a multi-tasking, team-oriented environment and contribute independently 
•	Should have good interpersonal skill and must be capable of handling the team and understanding the client requirements
2.	Experience Requirement: 
•	5 years of hands-on ETL development experience
•	5 years general Database administration tasks such as developing Microsoft SQL Server database objects, database server implementations, code deployments, backups, creation of DB authentication principals, system and query performance tuning
•	5 years database architecture and schema design. Design and architect the centralized databases to enhance the efficiency and optimize the workflow
2.       Education Requirement: BS in Computer Science or BA in Computer Information Systems
3.       Responsibilities:
•	Maintain/support third party ETL tools for systems integration.
•	Build/maintain/support web services for integration.
•	Build/maintain/support APIs, EDI, XML/cXML.
•	Perform detailed analysis of business processes to define Architecture requirements. 
•	Design databases, tables, views, stored procedures, functions to support the entire replacement project.
•	May use SQL Server tools, including SQL Server Management Studio, SQL Server Integration Services (SSIS) packages.
•	Understand systems analysis on database, and resolves performance, capacity, replication, error-handling, and archiving issues as necessary
•	Serves as an expert resource on systems integration in meetings at all levels.
4.       Performance Expectations:
•	Define requirements and develop a plan for integration initiatives on the Roadmap.
•	Able to learn and understand the existing integration and take ownership to maintain and support changes within the first month.
•	Able to work within Procurement Team and other Agencies/Departments to understand the business process and integration requirements.
•	Must be a self-starter and be able to work independently and/or in collaboration with other team members.
5.       Monitoring and Reporting Expectations:
•	There will be weekly updates and reports - to be reviewed and mutually agreed upon.
•	Reporting time on a weekly basis matching agreed upon weekly deliverable to be approved by supervising manager.

    ",,$70.00/hr
APPLICATION DEVELOPER,https://sfbay.craigslist.org/eby/sof/d/application-developer/6678764691.html,1534999800000,,"
        
About Jopari Solutions, Inc.
Here's a great opportunity to be a player in the healthcare technology revolution.  Gain highly valuable career experience with Jopari.  We are the leading supplier of X12 billing, automated payments and secure portals for Property & Casualty and healthcare payers and providers nationally.  Join our top-notch team building green solutions powering medical EDI transactions.

Purpose of the job:
Build interfaces to accept and deliver data to clients 

Principal duties and responsibilities:
•	Analyze client implementation requirements using existing development and implementation guidelines.
•	Build/configure/update all required adapters and data interchange maps to move data from and to customer systems.  
•	Working environment is within a cross-functional team.  Customer technical staff interaction is an important component of this position.
•	Provide client consultation on business and technical component inter-relationships. 
•	Adhere to established best practices methodologies and standards.
•	Take responsibility for the protection of the confidentiality, integrity and availability of information/data that reside on our internal systems and also information/data that may come from our customers and/or reside on their systems. 

Knowledge, skills and abilities required:
•	Must possess at least 2 years of hands on experience in the following areas: 
        - Software design and development experience with Java
        - Experience and working knowledge of Oracle Database or equivalent relational DBMS
        - Experience and working knowledge of web-based applications
•	Working knowledge of the Apache web server and XHTML/CSS. 
•	Must have working experience with JavaScript
•	Experience working in a UNIX/LINUX environment.  Knowledge of scripting and administration tools in a multi-tiered or clustered environment.
•	Knowledge of X12 transaction architecture a plus.
•	Experience with software control tools (CVS, SCCS)
•	Develop/update specification documentation
•	Ability to handle multiple projects at the same time. 
•	Must possess excellent problem solving skills.
•	Good communication skills to interact with other groups in the organization.
•	Proven ability to move forward with limited guidance and possibly lead others in the team.
•	Ability to implement projects in stages 
•	Intangibles like energy, positive attitude, and ability to work on a team are an absolute must. 
•	Experience with developing software and systems with high reliability, scalability, availability, and performance. 
•	Proven ability interface effectively with other engineering team members, and other departments such as Quality Assurance, Implementation Services, and Operations. 
•	Ability to work under limited supervision with considerable latitude for the use of initiative and independent judgment.
    ",,DOE
JavaScript Developer at craigslist,https://sfbay.craigslist.org/sfc/sof/d/java-developer-at/6576102796.html,1534995480000, (financial district),"
        

craigslist seeks JavaScript developers to:
 
imagine, design, implement, test, and roll out new features
ship code daily and see it loved (or hated) by millions
draw from and contribute to various open source projects
enjoy a tech-driven, laid-back, idealistic, fun-loving workplace

Required skills:

proficiency with JavaScript/jQuery/AJAX, CSS, CSS pre-processors (we use LESS!), HTML
deep understanding of front end web development and optimization
fluent in engaging, accessible, cross-browser, responsive web design
prolific troubleshooting and problem solving skills
well-grounded in basic UI/UX design principles

Experience with any of the following is beneficial, but not required:

Node.js
UI libraries and frameworks
large scale, big traffic, high performance websites
website security, cross-site scripting & other vulnerabilities
API design and maintenance
mobile app design, supporting mobile platforms
integrated mapping technologies
Linux/UNIX, Perl, Python, C/C++

The ideal candidate:

self-motivated and highly productive
a data-driven problem solver
passionate about helping (and delighting) end users
loves learning and teaching others
passion for automation
makes teammates better
resourceful and adaptable
communicates effectively
empathetic and self-aware
loves craigslist 

A sampling of the technologies we work with includes:
 
Linux, Apache, MySQL, Perl
Python, Node.js, C/C++
JavaScript, jQuery, AJAX
redis, SQLite
HTML, CSS, JSON, XML

craigslist offers:

an unusually philanthropic company mission and philosophy
a small team (~50) of fun-loving, smart, interesting, idealistic people
non-garden-variety tech challenges at billion-page-view-per-day scale
a tech nirvana, free from VCs, MBAs, sales, marketing, biz dev, or pivoting
big company stability and benefits -- w/o the dysfunction and despair
competitive market rates for you -- free classifieds for humanity

craigslist benefits include:

100% paid (including eligible dependents) health and dental insurance
craigslist-provided health reimbursement account ($4K-$10K)
3-to-1 match on employee charitable donations (up to 10% of salary)
401(k) matching program (up to 6% of salary), with immediate vesting
4 weeks paid time off; 10 paid holidays
paid parental leave
commuting stipend (up to $360/month)
wellness stipend (up to $150/month)
mobile phone and at-home internet stipend (up to $250/month)
bike-friendly culture, in-office bicycle parking
healthy (vegan, vegetarian, omnivore) breakfast, lunch, and snacks daily
SF HQ with 25' ceilings, all natural light, adjustable height desks, CoffeeBot 9000

Please note: This position is based in craigslist's San Francisco office. Relocation expenses will be reimbursed. Candidates must be authorized to work in the United States without sponsorship.

To apply, please reply with your plain text resume, a cover email which includes a summary of your technical strengths and interests, and JS DEV in the subject line. No attachments, please.

craigslist is an equal opportunity employer and does not discriminate based sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and related medical conditions), age, genetic information, marital/domestic partner status, medical condition (including cancer, genetic characteristics, or AIDS/HIV), mental/physical disability, national origin or ancestry (including language use and holding a driver's license granted under Vehicle Code section 12801.9), race and color, religion, creed, gender (including actual/perceived gender identity, expression, or transition, and transgender or gender non-conforming status), sexual orientation, weight, height, military/veteran status, or any other characteristic protected by federal, state, or local laws.
    ",,DOE
Full Stack Web Developer at craigslist,https://sfbay.craigslist.org/sfc/sof/d/full-stack-web-developer-at/6576105241.html,1534995480000, (financial district),"
        

craigslist seeks full stack web developers to:
 
imagine, design, implement, test, and roll out new features
ship code daily and see it loved (or hated) by millions
draw from and contribute to various open source projects
enjoy a tech-driven, laid-back, idealistic, fun-loving workplace

Required skills:
 
5+ years programming experience
proven ability to design, develop, and maintain web systems
deep understanding of web development concepts
expert level knowledge in a programming language
solid troubleshooting and problem solving skills
familiarity with Linux/UNIX

Experience with any of the following is beneficial, but not required:

large scale, big traffic, high performance websites
security, web site vulnerabilities, phishing attacks
machine learning
user interface design
event driven programming
internationalization, encoding systems, Unicode
anti-fraud / spam / scam systems
accounts receivable & billing systems
QA / automated testing
queuing / job scheduling systems
networking protocols
build systems
project management

The ideal candidate:

self-motivated and highly productive
a data-driven problem solver
passionate about helping (and delighting) end users
loves learning and teaching others
passion for automation
makes teammates better
resourceful and adaptable
communicates effectively
empathetic and self-aware
loves craigslist 

A sampling of the technologies we work with includes:
 
Linux, Apache, MySQL, Perl
Python, Node.js, C/C++
JavaScript, jQuery, AJAX
redis, SQLite
HTML, CSS, JSON, XML

craigslist offers:

an unusually philanthropic company mission and philosophy
a small team (~50) of fun-loving, smart, interesting, idealistic people
non-garden-variety tech challenges at billion-page-view-per-day scale
a tech nirvana, free from VCs, MBAs, sales, marketing, biz dev, or pivoting
big company stability and benefits -- w/o the dysfunction and despair
competitive market rates for you -- free classifieds for humanity

craigslist benefits include:

100% paid (including eligible dependents) health and dental insurance
craigslist-provided health reimbursement account ($4K-$10K)
3-to-1 match on employee charitable donations (up to 10% of salary)
401(k) matching program (up to 6% of salary), with immediate vesting
4 weeks paid time off; 10 paid holidays
paid parental leave
commuting stipend (up to $360/month)
wellness stipend (up to $150/month)
mobile phone and at-home internet stipend (up to $250/month)
bike-friendly culture, in-office bicycle parking
healthy (vegan, vegetarian, omnivore) breakfast, lunch, and snacks daily
SF HQ - 25' ceilings, all natural light, adjustable height desks, CoffeeBot 9000

Please note: This position is based in craigslist's San Francisco office. Relocation expenses will be reimbursed. Candidates must be authorized to work in the United States without sponsorship.

To apply, please reply with your plain text resume, a cover email which includes a summary of your technical strengths and interests, and WEB DEV in the subject line. No attachments, please.

craigslist is an equal opportunity employer and does not discriminate based sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and related medical conditions), age, genetic information, marital/domestic partner status, medical condition (including cancer, genetic characteristics, or AIDS/HIV), mental/physical disability, national origin or ancestry (including language use and holding a driver's license granted under Vehicle Code section 12801.9), race and color, religion, creed, gender (including actual/perceived gender identity, expression, or transition, and transgender or gender non-conforming status), sexual orientation, weight, height, military/veteran status, or any other characteristic protected by federal, state, or local laws.    ",,DOE
React Developer at craigslist,https://sfbay.craigslist.org/sfc/sof/d/react-developer-at/6576107141.html,1534995480000, (financial district),"
        

craigslist seeks React web developers to:

design, implement, test, and roll out new features for web and mobile
ship code daily and see it loved (or hated) by millions
draw from and contribute to various open source projects
enjoy a tech-driven, laid-back, idealistic, fun-loving workplace

Required skills:

proficiency with JavaScript/ES6
Redux/Flux architecture
experience in building websites with React.js
confidence with basic UI/UX design principles
understanding of front end web development and optimization
interest in designing and building performant and intuitive mobile apps
fluent in engaging, accessible, cross-browser, responsive web design
solid critical thinking, troubleshooting, and problem solving skills

Experience with any of the following is beneficial, but not required:

ReactNative
mobile app development
Enzyme, Detox, Jest, Selenium/Appium, or other automated testing tools
API design and maintenance
UI libraries and frameworks
functional programming
Node.js
Linux/UNIX

The ideal candidate:

self-motivated and highly productive
a data-driven problem solver
passionate about helping (and delighting) end users
loves learning and teaching others
passion for automation
makes teammates better
resourceful and adaptable
communicates effectively
empathetic and self-aware
loves craigslist

A sampling of the technologies we work with includes:

Linux, Apache, MySQL, Perl
Python, Node.js, C/C++
Javascript, jQuery, AJAX
redis, SQLite
HTML, CSS, JSON, XML

craigslist offers:

an unusually philanthropic company mission and philosophy
a small team (~50) of fun-loving, smart, interesting, idealistic people
non-garden-variety tech challenges at billion-page-view-per-day scale
a tech nirvana, free from VCs, MBAs, sales, marketing, biz dev, or pivoting
big company stability and benefits -- w/o the dysfunction and despair
competitive market rates for you -- free classifieds for humanity

craigslist benefits include:

100% paid (including eligible dependents) health and dental insurance
craigslist-provided health reimbursement account ($4K-$10K)
3-to-1 match on employee charitable donations (up to 10% of salary)
401(k) matching program (up to 6% of salary), with immediate vesting
4 weeks paid time off; 10 paid holidays
paid parental leave
commuting stipend (up to $360/month)
wellness stipend (up to $150/month)
mobile phone and at-home internet stipend (up to $250/month)
bike-friendly culture, in-office bicycle parking
healthy (vegan, vegetarian, omnivore) breakfast, lunch, and snacks daily
SF HQ with 25' ceilings, all natural light, adjustable height desks, CoffeeBot 9000

Please note: This position is based in craigslist's San Francisco
office. Relocation expenses will be reimbursed. Candidates must be
authorized to work in the United States without sponsorship.

To apply, please reply with your plain text resume, a cover email which
includes a summary of your technical strengths and interests, and REACT DEV
 in the subject line. No attachments, please.

craigslist is an equal opportunity employer and does not discriminate based sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and related medical conditions), age, genetic information, marital/domestic partner status, medical condition (including cancer, genetic characteristics, or AIDS/HIV), mental/physical disability, national origin or ancestry (including language use and holding a driver's license granted under Vehicle Code section 12801.9), race and color, religion, creed, gender (including actual/perceived gender identity, expression, or transition, and transgender or gender non-conforming status), sexual orientation, weight, height, military/veteran status, or any other characteristic protected by federal, state, or local laws. 
    ",,DOE
Mobile App Developer at craigslist,https://sfbay.craigslist.org/sfc/sof/d/mobile-app-developer-at/6576108679.html,1534995480000, (financial district),"
        

craigslist seeks Mobile App Developer to:

design, develop, test, and maintain mobile apps
ship code daily and see it loved (or hated) by millions
draw from and contribute to various open source projects
enjoy a tech-driven, laid-back, idealistic, fun-loving workplace

Required skills:

programming experience in JavaScript/ES6
proven ability to design, develop, and maintain Android and iOS apps
understanding of web development concepts
solid troubleshooting and problem solving skills
familiarity with Linux/UNIX

Experience with any of the following is beneficial, but not required:

React or React Native
Redux/Flux
mobile app build systems
Appium, Selenium, Mocha, Jest, or other automated app testing
 Java, Objective-C, or Swift
working with APIs
performance tuning
large scale, big traffic, high performance websites
security, web site vulnerabilities, phishing attacks
user interface design
event driven programming
internationalization, encoding systems, Unicode
anti-fraud / spam / scam systems
networking protocols
project management

The ideal candidate:

self-motivated and highly productive
a data-driven problem solver
passionate about helping (and delighting) end users
loves learning and teaching others
passion for automation
makes teammates better
resourceful and adaptable
communicates effectively
empathetic and self-aware
loves craigslist

A sampling of the technologies we work with includes:

Linux, Apache, MySQL, Perl
Python, Node.js, C/C++
JavaScript, jQuery, AJAX
redis, SQLite
HTML, CSS, JSON, XML

craigslist offers:

an unusually philanthropic company mission and philosophy
a small team (~50) of fun-loving, smart, interesting, idealistic people
non-garden-variety tech challenges at billion-page-view-per-day scale
a tech nirvana, free from VCs, MBAs, sales, marketing, biz dev, or pivoting
big company stability and benefits -- w/o the dysfunction and despair
competitive market rates for you -- free classifieds for humanity

craigslist benefits include:

100% paid (including eligible dependents) health and dental insurance
craigslist-provided health reimbursement account ($4K-$10K)
3-to-1 match on employee charitable donations (up to 10% of salary)
401(k) matching program (up to 6% of salary), with immediate vesting
4 weeks paid time off; 10 paid holidays
paid parental leave
commuting stipend (up to $360/month)
wellness stipend (up to $150/month)
mobile phone and at-home internet stipend (up to $250/month)
bike-friendly culture, in-office bicycle parking
healthy (vegan, vegetarian, omnivore) breakfast, lunch, and snacks daily
SF HQ with 25' ceilings, all natural light, adjustable height desks, CoffeeBot 9000

Please note: This position is based in craigslist's San Francisco office. Relocation expenses will be reimbursed. Candidates must be authorized to work in the United States without sponsorship.

To apply, please reply with your plain text resume, a cover email which includes a summary of your technical strengths and interests, and MOBILE DEV in the subject line. No attachments, please.

craigslist is an equal opportunity employer and does not discriminate based sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and related medical conditions), age, genetic information, marital/domestic partner status, medical condition (including cancer, genetic characteristics, or AIDS/HIV), mental/physical disability, national origin or ancestry (including language use and holding a driver's license granted under Vehicle Code section 12801.9), race and color, religion, creed, gender (including actual/perceived gender identity, expression, or transition, and transgender or gender non-conforming status), sexual orientation, weight, height, military/veteran status, or any other characteristic protected by federal, state, or local laws.
    ",,DOE
Needed: Junior Robotics Engineering Technician,https://sfbay.craigslist.org/pen/sof/d/needed-junior-robotics/6678579923.html,1534989060000, (mountain view),"
        
We're looking for a lab technician that can install, configure, test, and maintain robotics devices such as robot arms, cameras, etc.  Configure and troubleshoot OS and firmware related issues.  Set up and maintain lab space, tools, and materials of a hardware R&D lab.

Requirements:
Experience working in a hardware environment.  Should possess a mechanical aptitude towards using hand tools such as drivers, hammers, drills, and crimpers.  Able to work with electronics -- Figure out issues in power supplies, cabling, etc.  A real plus is electronics design experience.  Familiarity with Linux, shell scripting, and Windows environments.    ",,DOE
